Model,Scenario,Region,Sector,Unit,Year,Value,Value baseline,Value_diff,Direct Emissions Costs,Direct baseline,Direct Emission Costs diff,Indirect Emission Costs,Ind baseline,Indirect Emissions Costs diff
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2080,24.0115,24.0115,0,2744787635.2,2744787635.2,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2090,27.002,27.002,0,3955606305.75,3955606305.75,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,ResidentialCommercial,EJ/yr,2100,29.2988,29.2988,0,5653422759.83,5653422759.83,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2020,12.1895,12.1895,0,372051140.43,372051140.43,0,191450830320,191450830320,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2030,13.6561,13.6561,0,459493289.83,459493289.83,0,223277028010,223277028010,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2040,15.6862,15.6862,0,1267437138.6,1267437138.6,0,296670346300,296670346300,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2050,17.0534,17.0534,0,2367139657.71,2367139657.71,0,395902626210,395902626210,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2060,17.7951,17.7951,0,3574922938.27,3574922938.27,0,479256983520,479256983520,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2070,17.0457,17.0457,0,4375680256.44,4375680256.44,0,453062284180,453062284180,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2080,17.1559,17.1559,0,5351668337.6,5351668337.6,0,535033989370,535033989370,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2090,16.4529,16.4529,0,6356714685.75,6356714685.75,0,506143979390,506143979390,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Latin America,Transportation,EJ/yr,2100,17.4617,17.4617,0,8113982958.74,8113982958.74,0,600339595440,600339595440,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2020,8.9915,8.9915,0,40188126.104169,40188126.104169,0,80859785040,80859785040,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2030,8.754,8.754,0,44772708.361321,44772708.361321,0,92900401410,92900401410,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2040,8.8113,8.8113,0,105504032.197266,105504032.197266,0,98637744220,98637744220,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2050,8.6693,8.6693,0,180309466.253288,180309466.253288,0,101433048780,101433048780,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2060,8.3342,8.3342,0,270367174.512273,270367174.512273,0,115700639920,115700639920,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2070,8.0585,8.0585,0,374920811.358665,374920811.358665,0,123964499630,123964499630,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2080,7.936,7.936,0,497263483.452273,497263483.452273,0,138501618820,138501618820,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2090,7.7912,7.7912,0,633557864.617543,633557864.617543,0,128037024340,128037024340,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Industry,EJ/yr,2100,7.6393,7.6393,0,783555209.434624,783555209.434624,0,136417041340,136417041340,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2020,7.0131,7.0131,0,72921932.02,72921932.02,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2030,7.0383,7.0383,0,72437700.62,72437700.62,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2040,7.4126,7.4126,0,179145930.3,179145930.3,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2050,7.6418,7.6418,0,297548907.36,297548907.36,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2060,7.7098,7.7098,0,474938734.04,474938734.04,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2070,7.8132,7.8132,0,612988782.39,612988782.39,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2080,8.0854,8.0854,0,708693856,708693856,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2090,8.2988,8.2988,0,821454345,821454345,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,ResidentialCommercial,EJ/yr,2100,8.444,8.444,0,976922054.42,976922054.42,0,0,0,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2020,3.4143,3.4143,0,103040743.03,103040743.03,0,53386520030,53386520030,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2030,3.5697,3.5697,0,114874184.72,114874184.72,0,67659252390,67659252390,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2040,3.8497,3.8497,0,289523723.25,289523723.25,0,68626809810,68626809810,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2050,4.063,4.063,0,523203576.75,523203576.75,0,72887270920,72887270920,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2060,4.1762,4.1762,0,800459012.86,800459012.86,0,87891544860,87891544860,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2070,4.084,4.084,0,1065148481.51,1065148481.51,0,90615894360,90615894360,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2080,4.1804,4.1804,0,1404717787.2,1404717787.2,0,117047315180,117047315180,0
REMIND-MAgPIE 1.7-3.0,Current Policies,Central Asia,Transportation,EJ/yr,2090,3.7213,3.7213,0,1397291863.5,1397291863.5,0,98978731120,98978731120,0
