Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,1.1612,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,2.6709,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,2.1999,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0.0182,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,1.8015,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Central Asia,EJ/yr,2010,0.2335,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,0.4378,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,0.2741,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,55.184,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,22.0194,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,19.0973,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,2.4085,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,0.0002,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,6.4333,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,3.3199,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,10.7015,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,14.0304,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,1.6877,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,0.1766,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,18.3399,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2010,8.0645,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,1.6627,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,117.0321,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,51.0946,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,33.4642,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,7.3143,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0.0005,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,14.7519,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,31.8985,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,39.219,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,43.6191,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,8.2593,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2020,0.4208,Industry,HydrogenIndus
